v2r_fpr,v2r_tpr,rho_fpr,rho_tpr
0.8917682926829268,0.979011509817197,0.5447154471544715,0.8567335243553008
0.9009146341463414,0.981042654028436,0.5582655826558266,0.8610315186246418
0.9070121951219512,0.983073798239675,0.5691056910569106,0.8638968481375359
0.9070121951219512,0.983750846310088,0.5853658536585366,0.8638968481375359
0.9085365853658537,0.983750846310088,0.6016260162601627,0.8696275071633238
0.913109756097561,0.9851049424509141,0.6178861788617886,0.8724928366762178
0.9222560975609756,0.985781990521327,0.6233062330623306,0.8753581661891118
0.9283536585365854,0.989167230873392,0.6314363143631436,0.8782234957020058
0.9329268292682927,0.989167230873392,0.6341463414634146,0.8810888252148997
0.9405487804878049,0.989844278943805,0.6422764227642277,0.8839541547277937
0.9420731707317073,0.990521327014218,0.6531165311653117,0.8868194842406877
